,variable,ratio
0,sex_f31,1.0
1,hand_grip_strength_left_f46,0.9950486398322362
2,number_of_treatmentsmedications_taken_f137,0.9997669948156347
3,number_of_daysweek_walked_10_minutes_f864,0.9990971049105842
4,duration_of_walks_f874,0.9620434554668842
5,number_of_daysweek_of_moderate_physical_activity_10_minutes_f884,0.9990971049105842
6,duration_of_moderate_activity_f894,0.8319042348692258
7,number_of_daysweek_of_vigorous_physical_activity_10_minutes_f904,0.9990971049105842
8,usual_walking_pace_f924,0.9949962136657541
9,frequency_of_stair_climbing_in_last_4_weeks_f943,0.9939418652065009
10,frequency_of_friendfamily_visits_f1031,0.9980311061921128
11,time_spend_outdoors_in_summer_f1050,0.9980311061921128
12,time_spent_outdoors_in_winter_f1060,0.9980311061921128
13,time_spent_watching_television_tv_f1070,0.9990971049105842
14,time_spent_using_computer_f1080,0.9980311061921128
15,time_spent_driving_f1090,0.9990679792625385
16,drive_faster_than_motorway_speed_limit_f1100,0.9990679792625385
17,length_of_mobile_phone_use_f1110,0.9990971049105842
18,weekly_usage_of_mobile_phone_in_last_3_months_f1120,0.7926486864332731
19,handsfree_devicespeakerphone_use_with_mobile_phone_in_last_3_month_f1130,0.7926486864332731
20,difference_in_mobile_phone_use_compared_to_two_years_previously_f1140,0.7926486864332731
21,usual_side_of_head_for_mobile_phone_use_f1150,0.7926486864332731
22,sleep_duration_f1160,0.9990971049105842
23,getting_up_in_morning_f1170,0.9980311061921128
24,morningevening_person_chronotype_f1180,0.9980311061921128
25,nap_during_day_f1190,0.9990971049105842
26,sleeplessness_insomnia_f1200,0.9990971049105842
27,snoring_f1210,0.9990971049105842
28,current_tobacco_smoking_f1239,0.9990971049105842
29,past_tobacco_smoking_f1249,0.9496184540106017
30,smokingsmokers_in_household_f1259,0.9485641055513485
31,exposure_to_tobacco_smoke_at_home_f1269,0.94963010426982
32,exposure_to_tobacco_smoke_outside_home_f1279,0.94963010426982
33,salad_raw_vegetable_intake_f1299,0.9990912797809751
34,fresh_fruit_intake_f1309,0.9990912797809751
35,oily_fish_intake_f1329,0.9990912797809751
36,nonoily_fish_intake_f1339,0.9990912797809751
37,processed_meat_intake_f1349,0.9990912797809751
38,poultry_intake_f1359,0.9990912797809751
39,lambmutton_intake_f1379,0.9990912797809751
40,pork_intake_f1389,0.9990912797809751
41,cheese_intake_f1408,0.9721325799499039
42,milk_type_used_f1418,0.9990679792625385
43,spread_type_f1428,0.9980252810625037
44,bread_intake_f1438,0.9980252810625037
45,bread_type_f1448,0.9677928583910992
46,cereal_intake_f1458,0.9990679792625385
47,cereal_type_f1468,0.8506087260441545
48,salt_added_to_food_f1478,0.9990912797809751
49,tea_intake_f1488,0.9990912797809751
50,coffee_intake_f1498,0.9990912797809751
51,hot_drink_temperature_f1518,0.9990912797809751
52,water_intake_f1528,0.9990912797809751
53,major_dietary_changes_in_the_last_5_years_f1538,0.9990912797809751
54,variation_in_diet_f1548,0.9980252810625037
